date,time_of_day,camera,count
8/3/2025,PM,3,6
8/4/2025,AM,3,6
8/4/2025,PM,3,5
8/5/2025,AM,3,5
8/5/2025,PM,3,5
8/6/2025,AM,3,5
8/6/2025,PM,3,4
8/7/2025,AM,3,4
8/7/2025,PM,3,4
8/8/2025,AM,3,4
8/8/2025,PM,3,4
8/9/2025,AM,3,4
8/9/2025,PM,3,4
8/10/2025,AM,3,4
8/10/2025,PM,3,4
8/11/2025,AM,3,4
8/11/2025,PM,3,4
8/12/2025,AM,3,4
8/12/2025,PM,3,4
8/13/2025,AM,3,4
8/13/2025,PM,3,4
8/14/2025,AM,3,4
8/14/2025,PM,3,4
8/15/2025,AM,3,4
8/15/2025,PM,3,4
8/16/2025,AM,3,4
8/16/2025,PM,3,4
8/17/2025,AM,3,4
8/17/2025,PM,3,4
8/18/2025,AM,3,4
8/18/2025,PM,3,4
8/19/2025,AM,3,4
8/19/2025,PM,3,4
8/20/2025,AM,3,4
8/20/2025,PM,3,4
8/21/2025,AM,3,3
8/21/2025,PM,3,3
7/23/2025,AM,4,11
7/23/2025,PM,4,11
7/24/2025,AM,4,10
7/24/2025,PM,4,10
7/25/2025,AM,4,10
7/25/2025,PM,4,10
7/26/2025,AM,4,10
7/26/2025,PM,4,10
7/27/2025,AM,4,9
7/27/2025,PM,4,8
7/28/2025,AM,4,8
7/28/2025,PM,4,7
7/29/2025,AM,4,7
7/29/2025,PM,4,7
7/30/2025,AM,4,7
7/30/2025,PM,4,7
7/31/2025,AM,4,7
7/31/2025,PM,4,7
8/1/2025,AM,4,7
8/1/2025,PM,4,7
8/2/2025,AM,4,7
8/2/2025,PM,4,7
8/3/2025,AM,4,7
8/3/2025,PM,4,7
8/4/2025,AM,4,7
8/4/2025,PM,4,7
8/5/2025,AM,4,7
8/5/2025,PM,4,6
8/6/2025,AM,4,5
8/6/2025,PM,4,5
8/7/2025,AM,4,5
8/7/2025,PM,4,5
8/8/2025,AM,4,5
8/8/2025,PM,4,5
8/9/2025,AM,4,5
8/9/2025,PM,4,5
8/10/2025,AM,4,5
8/10/2025,PM,4,5
8/11/2025,AM,4,4
8/11/2025,PM,4,4
8/12/2025,AM,4,4
8/12/2025,PM,4,3
8/13/2025,AM,4,2
8/13/2025,PM,4,2
8/14/2025,AM,4,2
8/14/2025,PM,4,2
8/15/2025,AM,4,2
8/15/2025,PM,4,2
8/16/2025,AM,4,2
8/16/2025,PM,4,2
8/17/2025,AM,4,2
8/17/2025,PM,4,2
8/18/2025,AM,4,2
8/18/2025,PM,4,1
8/19/2025,AM,4,1
8/19/2025,PM,4,1
8/20/2025,AM,4,1
8/20/2025,PM,4,1
8/21/2025,AM,4,1
8/21/2025,PM,4,1
